"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
773,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,772,70054,70054,229376,32,0,0,12,0,16,64,"0x0","0x7c5b0c5d2b80",3895889764047,3896071659331,3896071682739,3896071685250,23408
774,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,773,70054,70054,229376,32,0,0,12,0,16,64,"0x0","0x7c5b0c5d2b80",3895889765674,3896071682739,3896071705998,3896071708531,23259
775,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,774,70054,70054,21504,384,32768,1432,128,0,48,64,"0x0","0x7c5b0c546a40",3895889768059,3896071916515,3896072457994,3896072466789,541479
776,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,775,70054,70054,6144,256,512,0,20,0,32,64,"0x0","0x7c5b0c546880",3895889769849,3896072511771,3896072541401,3896072543912,29630
777,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,776,70054,70054,229376,32,0,0,12,0,16,64,"0x0","0x7c5b0c5d2b80",3895889771693,3896072541401,3896072566141,3896072568803,24740
778,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,777,70054,70054,229376,32,0,0,12,0,16,64,"0x0","0x7c5b0c5d2b80",3895889773412,3896072566141,3896072590734,3896072593280,24593
779,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,778,70054,70054,28416,256,22528,1104,128,0,64,64,"0x0","0x7c5b0c5469c0",3895889775624,3896072813696,3896073540359,3896073549017,726663
780,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,779,70054,70054,6144,256,512,0,20,0,32,64,"0x0","0x7c5b0c546880",3895889777386,3896073540359,3896073562284,3896073564868,21925
781,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,780,70054,70054,229376,32,0,0,12,0,16,64,"0x0","0x7c5b0c5d2b80",3895889779064,3896073562284,3896073587173,3896073589677,24889
782,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,781,70054,70054,229376,32,0,0,12,0,16,64,"0x0","0x7c5b0c5d2b80",3895889780630,3896073587173,3896073611766,3896073614399,24593
783,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,782,70054,70054,21504,384,32768,1432,128,0,48,64,"0x0","0x7c5b0c546a40",3895889782815,3896073835172,3896074382725,3896074391581,547553
